id,skill,created_at,updated_at
1,Administration,2016-06-29 14:40:48,2016-06-29 14:40:48
2,Befriending,2016-06-29 14:40:48,2016-06-29 14:40:48
3,Environment,2016-06-29 14:40:48,2016-06-29 14:40:48
4,Health,2016-06-29 14:40:48,2016-06-29 14:40:48
5,Marketing and Publicity,2016-06-29 14:40:48,2016-06-29 14:40:48
6,Fundraising,2016-06-29 14:40:48,2016-06-29 14:40:48
7,Event Support,2016-06-29 14:40:48,2016-06-29 14:40:48
8,Writing,2016-06-29 14:40:48,2016-06-29 14:40:48
9,Information Technology,2016-06-29 14:40:48,2016-06-29 14:40:48
10,Research and analysis,2016-06-29 14:40:48,2016-06-29 14:40:48
11,Caring for animals,2016-06-29 14:40:48,2016-06-29 14:40:48
12,Dance and Music,2016-06-29 14:40:48,2016-06-29 14:40:48
13,Photography,2016-06-29 14:40:48,2016-06-29 14:40:48
14,Art and Craft,2016-06-29 14:40:48,2016-06-29 14:40:48
15,Education,2016-06-29 14:40:48,2016-06-29 14:40:48
16,Maintenance,2016-06-29 14:40:48,2016-06-29 14:40:48
17,Sports and Recreation,2016-06-29 14:40:48,2016-06-29 14:40:48
18,Outings,2016-06-29 14:40:48,2016-06-29 14:40:48
